--------- beginning of main
09-02 16:45:52.348 23997 24211 D WatchFallML: Activity=FALL_LEFT, FallProb=0.5130, AccPeak=16.54, AccMin=8.43, AccRange=8.11, AccStd=2.47, GyroPeak=6.74, JerkPeak=88.1, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=2ms
09-02 16:45:52.768 23997 24211 D WatchFallML: Activity=STANDING, FallProb=0.3517, AccPeak=17.90, AccMin=9.19, AccRange=8.71, AccStd=2.62, GyroPeak=6.08, JerkPeak=178.8, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=13ms
09-02 16:45:53.133 23997 24211 D WatchFallML: Activity=FALL_RIGHT, FallProb=0.3610, AccPeak=18.59, AccMin=9.19, AccRange=9.40, AccStd=2.58, GyroPeak=4.70, JerkPeak=178.8, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=2ms
09-02 16:45:53.522 23997 24211 D WatchFallML: Activity=WALKING, FallProb=0.4190, AccPeak=18.59, AccMin=5.49, AccRange=13.10, AccStd=4.15, GyroPeak=4.70, JerkPeak=134.9, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=10ms
09-02 16:45:53.905 23997 24211 D WatchFallML: Activity=FALL_FORWARD, FallProb=0.5292, AccPeak=25.33, AccMin=5.49, AccRange=19.84, AccStd=5.44, GyroPeak=7.00, JerkPeak=241.0, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=34ms
09-02 16:45:54.216 23997 24211 D WatchFallML: Activity=FALL_FORWARD, FallProb=0.4200, AccPeak=25.33, AccMin=7.72, AccRange=17.61, AccStd=4.71, GyroPeak=7.00, JerkPeak=241.0, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=5ms
09-02 16:45:54.670 23997 24211 D WatchFallML: Activity=PICKING_UP_OBJECT, FallProb=0.3400, AccPeak=18.82, AccMin=7.72, AccRange=11.10, AccStd=2.76, GyroPeak=4.58, JerkPeak=148.9, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=2ms
09-02 16:45:55.270 23997 24211 D WatchFallML: Activity=FALL_FORWARD, FallProb=0.4500, AccPeak=18.82, AccMin=6.66, AccRange=12.16, AccStd=2.91, GyroPeak=3.28, JerkPeak=148.9, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=6ms
09-02 16:45:55.730 23997 24211 D WatchFallML: Activity=FALL_FORWARD, FallProb=0.4864, AccPeak=15.20, AccMin=6.66, AccRange=8.54, AccStd=2.77, GyroPeak=4.24, JerkPeak=100.8, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=2ms
09-02 16:45:55.960 23997 24211 D WatchFallML: Activity=FALL_FORWARD, FallProb=0.4393, AccPeak=15.20, AccMin=6.06, AccRange=9.15, AccStd=3.03, GyroPeak=4.24, JerkPeak=207.4, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=2ms
09-02 16:45:56.292 23997 24211 D WatchFallML: Activity=WALKING, FallProb=0.3986, AccPeak=15.07, AccMin=6.06, AccRange=9.01, AccStd=2.33, GyroPeak=5.22, JerkPeak=207.4, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=2ms
09-02 16:45:56.687 23997 24211 D WatchFallML: Activity=WALKING, FallProb=0.5850, AccPeak=15.28, AccMin=9.62, AccRange=5.67, AccStd=1.37, GyroPeak=5.22, JerkPeak=130.7, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=31ms
09-02 16:45:57.352 23997 24211 D WatchFallML: Activity=FALL_LEFT, FallProb=0.5108, AccPeak=15.28, AccMin=8.71, AccRange=6.57, AccStd=1.61, GyroPeak=4.89, JerkPeak=86.3, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=2ms
09-02 16:45:58.039 23997 24211 D WatchFallML: Activity=FALL_LEFT, FallProb=0.5336, AccPeak=21.05, AccMin=8.71, AccRange=12.34, AccStd=2.01, GyroPeak=4.89, JerkPeak=360.7, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=3ms
09-02 16:45:58.405 23997 24211 D WatchFallML: Activity=FALL_BACKWARD, FallProb=0.5700, AccPeak=21.05, AccMin=7.95, AccRange=13.11, AccStd=2.16, GyroPeak=6.11, JerkPeak=360.7, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=12ms
09-02 16:45:59.160 23997 24211 D WatchFallML: Activity=FALL_FORWARD, FallProb=0.6450, AccPeak=16.14, AccMin=6.39, AccRange=9.75, AccStd=3.11, GyroPeak=6.89, JerkPeak=153.2, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=2ms
09-02 16:46:00.571 23997 24211 D WatchFallML: Activity=WALKING, FallProb=0.4418, AccPeak=15.94, AccMin=6.39, AccRange=9.54, AccStd=2.86, GyroPeak=6.89, JerkPeak=186.9, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=34ms
09-02 16:46:00.854 23997 24211 D WatchFallML: Activity=WALKING, FallProb=0.3092, AccPeak=15.00, AccMin=8.17, AccRange=6.82, AccStd=1.33, GyroPeak=4.01, JerkPeak=131.7, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=2ms
09-02 16:46:01.393 23997 24211 D WatchFallML: Activity=WALKING, FallProb=0.1000, AccPeak=10.10, AccMin=8.72, AccRange=1.38, AccStd=0.35, GyroPeak=1.72, JerkPeak=12.8, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=2ms
09-02 16:46:01.869 23997 24211 D WatchFallML: Activity=WALKING, FallProb=0.2501, AccPeak=10.10, AccMin=9.17, AccRange=0.93, AccStd=0.21, GyroPeak=0.38, JerkPeak=12.8, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=2ms
09-02 16:46:02.252 23997 24211 D WatchFallML: Activity=WALKING, FallProb=0.1917, AccPeak=10.26, AccMin=8.52, AccRange=1.74, AccStd=0.43, GyroPeak=1.87, JerkPeak=44.0, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=2ms
09-02 16:46:02.589 23997 24211 D WatchFallML: Activity=FALL_FORWARD, FallProb=0.3429, AccPeak=11.00, AccMin=8.52, AccRange=2.48, AccStd=0.67, GyroPeak=2.11, JerkPeak=44.0, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=1ms
09-02 16:46:02.965 23997 24211 D WatchFallML: Activity=WALKING, FallProb=0.2752, AccPeak=15.63, AccMin=8.40, AccRange=7.23, AccStd=1.86, GyroPeak=3.26, JerkPeak=127.2, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=1ms
