--------- beginning of main
09-03 14:03:24.834  5595  8531 D WatchFallML: Activity=SITTING, FallProb=0.4293, AccPeak=11.00, AccMin=9.19, AccRange=1.81, AccStd=0.38, GyroPeak=0.79, JerkPeak=47.9, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=60ms
09-03 14:03:25.147  5595  8531 D WatchFallML: Activity=FALL_LEFT, FallProb=0.5303, AccPeak=10.55, AccMin=9.19, AccRange=1.36, AccStd=0.31, GyroPeak=0.67, JerkPeak=27.7, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=12ms
09-03 14:03:25.395  5595  8531 D WatchFallML: Activity=FALL_LEFT, FallProb=0.5239, AccPeak=10.42, AccMin=9.31, AccRange=1.11, AccStd=0.28, GyroPeak=0.61, JerkPeak=24.3, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=3ms
09-03 14:03:25.734  5595  8531 D WatchFallML: Activity=FALL_LEFT, FallProb=0.5965, AccPeak=10.30, AccMin=9.31, AccRange=1.00, AccStd=0.27, GyroPeak=0.61, JerkPeak=27.8, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=5ms
09-03 14:03:26.114  5595  8531 D WatchFallML: Activity=FALL_FORWARD, FallProb=0.5366, AccPeak=11.24, AccMin=9.31, AccRange=1.93, AccStd=0.48, GyroPeak=1.94, JerkPeak=45.4, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=10ms
09-03 14:03:26.299  5595  8531 D WatchFallML: Activity=STANDING, FallProb=0.4406, AccPeak=11.42, AccMin=9.32, AccRange=2.10, AccStd=0.53, GyroPeak=1.94, JerkPeak=56.3, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=10ms
09-03 14:03:26.635  5595  8531 D WatchFallML: Activity=STANDING, FallProb=0.3285, AccPeak=11.42, AccMin=7.92, AccRange=3.50, AccStd=0.65, GyroPeak=2.08, JerkPeak=57.0, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=11ms
09-03 14:03:27.087  5595  8531 D WatchFallML: Activity=SITTING, FallProb=0.3001, AccPeak=11.12, AccMin=7.92, AccRange=3.20, AccStd=0.65, GyroPeak=2.34, JerkPeak=57.0, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=11ms
09-03 14:03:27.337  5595  8531 D WatchFallML: Activity=SITTING, FallProb=0.4789, AccPeak=11.12, AccMin=8.28, AccRange=2.84, AccStd=0.54, GyroPeak=2.34, JerkPeak=115.4, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=2ms
09-03 14:03:27.447  5595  8531 D WatchFallML: Activity=SITTING, FallProb=0.4493, AccPeak=11.02, AccMin=8.28, AccRange=2.74, AccStd=0.53, GyroPeak=1.16, JerkPeak=115.4, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=6ms
09-03 14:03:27.602  5595  8531 D WatchFallML: Activity=SITTING, FallProb=0.3884, AccPeak=12.17, AccMin=7.93, AccRange=4.24, AccStd=0.79, GyroPeak=3.25, JerkPeak=138.9, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=6ms
09-03 14:03:27.837  5595  8531 D WatchFallML: Activity=SITTING, FallProb=0.3951, AccPeak=12.17, AccMin=7.93, AccRange=4.24, AccStd=0.82, GyroPeak=3.25, JerkPeak=138.9, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=36ms
09-03 14:03:27.990  5595  8531 D WatchFallML: Activity=SITTING, FallProb=0.3205, AccPeak=10.86, AccMin=8.72, AccRange=2.14, AccStd=0.52, GyroPeak=3.07, JerkPeak=73.3, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=2ms
09-03 14:03:28.189  5595  8531 D WatchFallML: Activity=STANDING, FallProb=0.3845, AccPeak=10.52, AccMin=8.72, AccRange=1.79, AccStd=0.37, GyroPeak=3.07, JerkPeak=57.2, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=2ms
09-03 14:03:28.354  5595  8531 D WatchFallML: Activity=STANDING, FallProb=0.2269, AccPeak=10.13, AccMin=9.30, AccRange=0.83, AccStd=0.20, GyroPeak=0.90, JerkPeak=20.6, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=24ms
09-03 14:03:28.530  5595  8531 D WatchFallML: Activity=STANDING, FallProb=0.1935, AccPeak=10.13, AccMin=9.30, AccRange=0.83, AccStd=0.19, GyroPeak=0.78, JerkPeak=20.6, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=30ms
09-03 14:03:28.725  5595  5795 D WatchFallML: Activity=STANDING, FallProb=0.2817, AccPeak=9.97, AccMin=9.45, AccRange=0.51, AccStd=0.11, GyroPeak=0.66, JerkPeak=16.4, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=2ms
09-03 14:03:29.165  5595  8531 D WatchFallML: Activity=SITTING, FallProb=0.3504, AccPeak=9.90, AccMin=9.45, AccRange=0.45, AccStd=0.09, GyroPeak=0.16, JerkPeak=9.0, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=2ms
09-03 14:03:29.420  5595  8531 D WatchFallML: Activity=SITTING, FallProb=0.3004, AccPeak=9.84, AccMin=9.45, AccRange=0.39, AccStd=0.09, GyroPeak=0.15, JerkPeak=7.8, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=15ms
