--------- beginning of main
09-03 13:47:10.927  5595  5795 D WatchFallML: Activity=SITTING, FallProb=0.1000, AccPeak=9.85, AccMin=9.53, AccRange=0.32, AccStd=0.07, GyroPeak=0.05, JerkPeak=13.2, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=2ms
09-03 13:47:11.141  5595  6937 D WatchFallML: Activity=SITTING, FallProb=0.1300, AccPeak=9.85, AccMin=9.58, AccRange=0.27, AccStd=0.06, GyroPeak=0.07, JerkPeak=8.9, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=2ms
09-03 13:47:11.487  5595  5795 D WatchFallML: Activity=SITTING, FallProb=0.1100, AccPeak=9.85, AccMin=9.58, AccRange=0.27, AccStd=0.06, GyroPeak=0.07, JerkPeak=8.9, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=2ms
09-03 13:47:11.833  5595  6937 D WatchFallML: Activity=SITTING, FallProb=0.1100, AccPeak=9.84, AccMin=9.59, AccRange=0.25, AccStd=0.06, GyroPeak=0.04, JerkPeak=6.9, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=2ms
09-03 13:47:12.180  5595  6185 D WatchFallML: Activity=SITTING, FallProb=0.1100, AccPeak=9.84, AccMin=9.59, AccRange=0.25, AccStd=0.06, GyroPeak=0.04, JerkPeak=7.2, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=2ms
09-03 13:47:12.540  5595  6185 D WatchFallML: Activity=SITTING, FallProb=0.1400, AccPeak=9.89, AccMin=9.56, AccRange=0.32, AccStd=0.07, GyroPeak=0.07, JerkPeak=8.6, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=1ms
09-03 13:47:12.887  5595  6185 D WatchFallML: Activity=SITTING, FallProb=0.1105, AccPeak=9.89, AccMin=9.35, AccRange=0.53, AccStd=0.12, GyroPeak=0.26, JerkPeak=8.9, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=19ms
09-03 13:47:13.150  5595  6937 D WatchFallML: Activity=SITTING, FallProb=0.0813, AccPeak=10.13, AccMin=9.35, AccRange=0.78, AccStd=0.19, GyroPeak=0.28, JerkPeak=17.7, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=2ms
09-03 13:47:13.523  5595  5795 D WatchFallML: Activity=SITTING, FallProb=0.0707, AccPeak=10.13, AccMin=9.40, AccRange=0.73, AccStd=0.17, GyroPeak=0.28, JerkPeak=17.7, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=2ms
09-03 13:47:13.995  5595  5795 D WatchFallML: Activity=SITTING, FallProb=0.1000, AccPeak=9.80, AccMin=9.51, AccRange=0.29, AccStd=0.07, GyroPeak=0.12, JerkPeak=10.0, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=2ms
09-03 13:47:14.428  5595  5795 D WatchFallML: Activity=SITTING, FallProb=0.1300, AccPeak=9.86, AccMin=9.59, AccRange=0.26, AccStd=0.06, GyroPeak=0.05, JerkPeak=8.1, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=1ms
09-03 13:47:14.986  5595  5795 D WatchFallML: Activity=SITTING, FallProb=0.1300, AccPeak=9.86, AccMin=9.60, AccRange=0.26, AccStd=0.06, GyroPeak=0.05, JerkPeak=8.1, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=2ms
09-03 13:47:15.242  5595  5795 D WatchFallML: Activity=SITTING, FallProb=0.1000, AccPeak=9.77, AccMin=9.59, AccRange=0.18, AccStd=0.05, GyroPeak=0.05, JerkPeak=8.8, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=2ms
09-03 13:47:15.815  5595  5795 D WatchFallML: Activity=SITTING, FallProb=0.1000, AccPeak=9.79, AccMin=9.59, AccRange=0.20, AccStd=0.06, GyroPeak=0.05, JerkPeak=8.8, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=12ms
09-03 13:47:16.095  5595  5795 D WatchFallML: Activity=SITTING, FallProb=0.1000, AccPeak=9.81, AccMin=9.56, AccRange=0.25, AccStd=0.06, GyroPeak=0.04, JerkPeak=8.5, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=2ms
09-03 13:47:16.845  5595  5795 D WatchFallML: Activity=SITTING, FallProb=0.1000, AccPeak=9.81, AccMin=9.56, AccRange=0.25, AccStd=0.06, GyroPeak=0.04, JerkPeak=7.7, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=2ms
09-03 13:47:17.438  5595  5795 D WatchFallML: Activity=SITTING, FallProb=0.1100, AccPeak=9.81, AccMin=9.62, AccRange=0.18, AccStd=0.04, GyroPeak=0.04, JerkPeak=5.3, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=3ms
09-03 13:47:17.688  5595  5795 D WatchFallML: Activity=SITTING, FallProb=0.1100, AccPeak=9.79, AccMin=9.62, AccRange=0.16, AccStd=0.04, GyroPeak=0.04, JerkPeak=7.6, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=3ms
09-03 13:47:18.230  5595  5795 D WatchFallML: Activity=SITTING, FallProb=0.1600, AccPeak=9.78, AccMin=9.60, AccRange=0.17, AccStd=0.04, GyroPeak=0.04, JerkPeak=7.6, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=2ms
09-03 13:47:18.655  5595  5795 D WatchFallML: Activity=SITTING, FallProb=0.1000, AccPeak=9.77, AccMin=9.60, AccRange=0.17, AccStd=0.05, GyroPeak=0.04, JerkPeak=7.5, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=20ms
09-03 13:47:19.262  5595  5795 D WatchFallML: Activity=SITTING, FallProb=0.1200, AccPeak=9.81, AccMin=9.55, AccRange=0.26, AccStd=0.06, GyroPeak=0.05, JerkPeak=9.1, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=4ms
09-03 13:47:19.650  5595  5795 D WatchFallML: Activity=SITTING, FallProb=0.1000, AccPeak=9.81, AccMin=9.55, AccRange=0.26, AccStd=0.06, GyroPeak=0.05, JerkPeak=9.1, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=1ms
09-03 13:47:20.094  5595  5795 D WatchFallML: Activity=SITTING, FallProb=0.1100, AccPeak=9.88, AccMin=9.60, AccRange=0.28, AccStd=0.06, GyroPeak=0.05, JerkPeak=8.6, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=7ms
09-03 13:47:20.461  5595  5795 D WatchFallML: Activity=SITTING, FallProb=0.1200, AccPeak=9.88, AccMin=9.59, AccRange=0.29, AccStd=0.06, GyroPeak=0.05, JerkPeak=8.6, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=2ms
09-03 13:47:20.721  5595  5795 D WatchFallML: Activity=SITTING, FallProb=0.1000, AccPeak=9.82, AccMin=9.59, AccRange=0.23, AccStd=0.05, GyroPeak=0.04, JerkPeak=7.1, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=2ms
09-03 13:47:20.893  5595  5795 D WatchFallML: Activity=SITTING, FallProb=0.1100, AccPeak=9.82, AccMin=9.59, AccRange=0.24, AccStd=0.06, GyroPeak=0.04, JerkPeak=9.2, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=1ms
09-03 13:47:21.162  5595  5795 D WatchFallML: Activity=SITTING, FallProb=0.1100, AccPeak=9.80, AccMin=9.59, AccRange=0.21, AccStd=0.05, GyroPeak=0.04, JerkPeak=9.2, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=2ms
09-03 13:47:21.370  5595  5795 D WatchFallML: Activity=SITTING, FallProb=0.1000, AccPeak=9.77, AccMin=9.57, AccRange=0.19, AccStd=0.05, GyroPeak=0.05, JerkPeak=5.9, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=2ms
09-03 13:47:21.734  5595  5795 D WatchFallML: Activity=SITTING, FallProb=0.1100, AccPeak=9.84, AccMin=9.57, AccRange=0.27, AccStd=0.06, GyroPeak=0.05, JerkPeak=6.4, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=2ms
09-03 13:47:22.202  5595  5795 D WatchFallML: Activity=SITTING, FallProb=0.1200, AccPeak=9.84, AccMin=9.57, AccRange=0.27, AccStd=0.06, GyroPeak=0.05, JerkPeak=9.4, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=5ms
