--------- beginning of main
09-02 16:47:51.286 22240  1836 I PhoneFallML: Potential impact collision detected! AccPeak=25.029234, JerkPeak=392.6277. Awaiting post-impact stillness confirmation.
09-02 16:47:51.288 22240  1836 D PhoneFallML: Activity=FALL_LEFT, FallProb=0.9864, AccPeak=25.03, AccMin=5.91, AccRange=19.12, AccStd=4.54, GyroPeak=12.04, JerkPeak=392.6, Impact=true, TemporalScore=4, PostImpact=false, ActiveMotion=true, State=MONITORING, Latency=7ms
09-02 16:47:51.645 22240  1836 I PhoneFallML: Potential impact collision detected! AccPeak=25.266443, JerkPeak=392.6277. Awaiting post-impact stillness confirmation.
09-02 16:47:51.647 22240  1836 D PhoneFallML: Activity=FALL_BACKWARD, FallProb=0.9949, AccPeak=25.27, AccMin=5.91, AccRange=19.36, AccStd=4.53, GyroPeak=12.04, JerkPeak=392.6, Impact=true, TemporalScore=4, PostImpact=false, ActiveMotion=true, State=MONITORING, Latency=4ms
09-02 16:47:51.982 22240  1836 I PhoneFallML: Potential impact collision detected! AccPeak=25.266443, JerkPeak=334.0564. Awaiting post-impact stillness confirmation.
09-02 16:47:51.987 22240  1836 D PhoneFallML: Activity=FALL_BACKWARD, FallProb=0.9485, AccPeak=25.27, AccMin=6.61, AccRange=18.66, AccStd=3.39, GyroPeak=5.58, JerkPeak=334.1, Impact=true, TemporalScore=4, PostImpact=false, ActiveMotion=true, State=MONITORING, Latency=5ms
09-02 16:47:52.339 22240  1836 D PhoneFallML: Activity=FALL_BACKWARD, FallProb=0.9577, AccPeak=19.02, AccMin=5.92, AccRange=13.10, AccStd=2.56, GyroPeak=2.89, JerkPeak=611.2, Impact=false, TemporalScore=3, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=8ms
09-02 16:47:52.661 22240  1834 I PhoneFallML: Potential impact collision detected! AccPeak=38.932686, JerkPeak=1345.0441. Awaiting post-impact stillness confirmation.
09-02 16:47:52.663 22240  1834 D PhoneFallML: Activity=FALL_BACKWARD, FallProb=0.8770, AccPeak=38.93, AccMin=3.02, AccRange=35.92, AccStd=6.07, GyroPeak=3.43, JerkPeak=1345.0, Impact=true, TemporalScore=4, PostImpact=false, ActiveMotion=true, State=MONITORING, Latency=3ms
09-02 16:47:53.037 22240  1837 I PhoneFallML: Potential impact collision detected! AccPeak=38.932686, JerkPeak=1345.0441. Awaiting post-impact stillness confirmation.
09-02 16:47:53.041 22240  1837 D PhoneFallML: Activity=FALL_BACKWARD, FallProb=0.7113, AccPeak=38.93, AccMin=3.02, AccRange=35.92, AccStd=5.85, GyroPeak=3.43, JerkPeak=1345.0, Impact=true, TemporalScore=4, PostImpact=false, ActiveMotion=true, State=MONITORING, Latency=10ms
09-02 16:47:53.398 22240  1839 I PhoneFallML: Potential impact collision detected! AccPeak=28.433065, JerkPeak=420.37717. Awaiting post-impact stillness confirmation.
09-02 16:47:53.400 22240  1839 D PhoneFallML: Activity=FALL_BACKWARD, FallProb=0.9778, AccPeak=28.43, AccMin=5.66, AccRange=22.77, AccStd=4.69, GyroPeak=9.92, JerkPeak=420.4, Impact=true, TemporalScore=4, PostImpact=false, ActiveMotion=true, State=MONITORING, Latency=3ms
09-02 16:47:53.787 22240  1839 I PhoneFallML: Potential impact collision detected! AccPeak=28.433065, JerkPeak=420.37717. Awaiting post-impact stillness confirmation.
09-02 16:47:53.790 22240  1839 D PhoneFallML: Activity=FALL_BACKWARD, FallProb=0.9278, AccPeak=28.43, AccMin=5.66, AccRange=22.77, AccStd=4.98, GyroPeak=9.92, JerkPeak=420.4, Impact=true, TemporalScore=4, PostImpact=false, ActiveMotion=true, State=MONITORING, Latency=23ms
09-02 16:47:54.126 22240  1837 I PhoneFallML: Potential impact collision detected! AccPeak=20.19676, JerkPeak=337.58197. Awaiting post-impact stillness confirmation.
09-02 16:47:54.129 22240  1837 D PhoneFallML: Activity=FALL_FROM_SITTING, FallProb=0.6514, AccPeak=20.20, AccMin=6.05, AccRange=14.15, AccStd=3.16, GyroPeak=4.56, JerkPeak=337.6, Impact=true, TemporalScore=4, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=8ms
09-02 16:47:54.517 22240  1839 D PhoneFallML: Locomotion cadence detected after shock (AccStd=3.5727093, GyroPeak=7.9463215). Aborting false alarm.
09-02 16:47:54.518 22240  1839 D PhoneFallML: Activity=FALL_FROM_SITTING, FallProb=0.5748, AccPeak=20.86, AccMin=5.66, AccRange=15.20, AccStd=3.57, GyroPeak=7.95, JerkPeak=116.9, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=true, State=MONITORING, Latency=3ms
09-02 16:47:54.867 22240  1837 I PhoneFallML: Potential impact collision detected! AccPeak=36.622, JerkPeak=1420.4851. Awaiting post-impact stillness confirmation.
09-02 16:47:54.869 22240  1837 D PhoneFallML: Activity=FALL_FROM_SITTING, FallProb=0.8544, AccPeak=36.62, AccMin=5.66, AccRange=30.96, AccStd=4.70, GyroPeak=7.95, JerkPeak=1420.5, Impact=true, TemporalScore=4, PostImpact=false, ActiveMotion=true, State=MONITORING, Latency=4ms
09-02 16:47:55.245 22240  1837 I PhoneFallML: Potential impact collision detected! AccPeak=36.622, JerkPeak=1420.4851. Awaiting post-impact stillness confirmation.
09-02 16:47:55.248 22240  1837 D PhoneFallML: Activity=FALL_FROM_SITTING, FallProb=0.6570, AccPeak=36.62, AccMin=6.47, AccRange=30.15, AccStd=5.63, GyroPeak=5.05, JerkPeak=1420.5, Impact=true, TemporalScore=4, PostImpact=false, ActiveMotion=true, State=MONITORING, Latency=5ms
09-02 16:47:55.623 22240  1839 I PhoneFallML: Potential impact collision detected! AccPeak=33.274685, JerkPeak=497.55078. Awaiting post-impact stillness confirmation.
09-02 16:47:55.627 22240  1839 D PhoneFallML: Activity=WALKING, FallProb=0.1413, AccPeak=33.27, AccMin=7.00, AccRange=26.27, AccStd=4.64, GyroPeak=5.05, JerkPeak=497.6, Impact=true, TemporalScore=4, PostImpact=false, ActiveMotion=true, State=MONITORING, Latency=7ms
09-02 16:47:55.990 22240  1835 D PhoneFallML: Locomotion cadence detected after shock (AccStd=3.293643, GyroPeak=4.64758). Aborting false alarm.
09-02 16:47:56.000 22240  1835 D PhoneFallML: Activity=WALKING, FallProb=0.3497, AccPeak=18.85, AccMin=6.20, AccRange=12.64, AccStd=3.29, GyroPeak=4.65, JerkPeak=205.8, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=true, State=MONITORING, Latency=7ms
09-02 16:47:56.363 22240  1835 I PhoneFallML: Potential impact collision detected! AccPeak=27.314713, JerkPeak=403.06876. Awaiting post-impact stillness confirmation.
09-02 16:47:56.366 22240  1835 D PhoneFallML: Activity=FALL_FROM_SITTING, FallProb=0.5295, AccPeak=27.31, AccMin=5.19, AccRange=22.13, AccStd=4.38, GyroPeak=5.94, JerkPeak=403.1, Impact=true, TemporalScore=4, PostImpact=false, ActiveMotion=true, State=MONITORING, Latency=5ms
09-02 16:47:56.731 22240  1835 I PhoneFallML: Potential impact collision detected! AccPeak=27.314713, JerkPeak=403.06876. Awaiting post-impact stillness confirmation.
09-02 16:47:56.735 22240  1835 D PhoneFallML: Activity=FALL_FROM_SITTING, FallProb=0.8131, AccPeak=27.31, AccMin=5.19, AccRange=22.13, AccStd=5.13, GyroPeak=6.23, JerkPeak=403.1, Impact=true, TemporalScore=4, PostImpact=false, ActiveMotion=true, State=MONITORING, Latency=7ms
09-02 16:47:57.108 22240  1839 I PhoneFallML: Potential impact collision detected! AccPeak=28.556705, JerkPeak=592.7377. Awaiting post-impact stillness confirmation.
09-02 16:47:57.111 22240  1839 D PhoneFallML: Activity=FALL_BACKWARD, FallProb=0.9809, AccPeak=28.56, AccMin=7.45, AccRange=21.11, AccStd=5.16, GyroPeak=9.24, JerkPeak=592.7, Impact=true, TemporalScore=4, PostImpact=false, ActiveMotion=true, State=MONITORING, Latency=5ms
09-02 16:47:57.511 22240  2159 I PhoneFallML: Potential impact collision detected! AccPeak=28.556705, JerkPeak=592.7377. Awaiting post-impact stillness confirmation.
09-02 16:47:57.515 22240  2159 D PhoneFallML: Activity=FALL_BACKWARD, FallProb=0.9912, AccPeak=28.56, AccMin=7.21, AccRange=21.35, AccStd=4.10, GyroPeak=9.24, JerkPeak=592.7, Impact=true, TemporalScore=4, PostImpact=false, ActiveMotion=true, State=MONITORING, Latency=8ms
09-02 16:47:57.892 22240  1836 I PhoneFallML: Potential impact collision detected! AccPeak=28.602015, JerkPeak=339.1141. Awaiting post-impact stillness confirmation.
09-02 16:47:57.893 22240  1836 D PhoneFallML: Activity=FALL_BACKWARD, FallProb=0.9969, AccPeak=28.60, AccMin=7.21, AccRange=21.39, AccStd=3.86, GyroPeak=7.60, JerkPeak=339.1, Impact=true, TemporalScore=4, PostImpact=false, ActiveMotion=true, State=MONITORING, Latency=4ms
09-02 16:47:58.260 22240  1839 I PhoneFallML: Potential impact collision detected! AccPeak=33.00637, JerkPeak=1276.4899. Awaiting post-impact stillness confirmation.
09-02 16:47:58.266 22240  1839 D PhoneFallML: Activity=FALL_BACKWARD, FallProb=0.9189, AccPeak=33.01, AccMin=6.24, AccRange=26.76, AccStd=4.78, GyroPeak=3.85, JerkPeak=1276.5, Impact=true, TemporalScore=4, PostImpact=false, ActiveMotion=true, State=MONITORING, Latency=5ms
09-02 16:47:58.618 22240  1836 I PhoneFallML: Potential impact collision detected! AccPeak=33.00637, JerkPeak=1276.4899. Awaiting post-impact stillness confirmation.
09-02 16:47:58.621 22240  1836 D PhoneFallML: Activity=FALL_BACKWARD, FallProb=0.8991, AccPeak=33.01, AccMin=6.24, AccRange=26.76, AccStd=4.60, GyroPeak=5.57, JerkPeak=1276.5, Impact=true, TemporalScore=4, PostImpact=false, ActiveMotion=true, State=MONITORING, Latency=7ms
09-02 16:47:59.012 22240  2159 I PhoneFallML: Potential impact collision detected! AccPeak=29.603329, JerkPeak=674.70026. Awaiting post-impact stillness confirmation.
09-02 16:47:59.014 22240  2159 D PhoneFallML: Activity=FALL_BACKWARD, FallProb=0.9778, AccPeak=29.60, AccMin=8.14, AccRange=21.47, AccStd=3.59, GyroPeak=5.57, JerkPeak=674.7, Impact=true, TemporalScore=4, PostImpact=false, ActiveMotion=true, State=MONITORING, Latency=12ms
09-02 16:47:59.361 22240  1839 D PhoneFallML: Activity=FALL_BACKWARD, FallProb=0.9686, AccPeak=19.47, AccMin=8.14, AccRange=11.33, AccStd=2.51, GyroPeak=4.84, JerkPeak=101.4, Impact=false, TemporalScore=3, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=4ms
